step,current_node,u,v,old_cost,new_cost
1,0,0,1,2.1776072319212147,3.76878135147556
1,0,0,40,2.1776072319212147,3.76878135147556
1,0,1,0,2.1776072319212147,3.76878135147556
1,0,1,41,2.0556553194162612,3.1516718080386266
1,0,40,0,2.1776072319212147,3.76878135147556
1,0,40,41,2.292931427182449,3.822773197772107
1,0,41,1,2.0556553194162612,3.1516718080386266
1,0,41,40,2.292931427182449,3.822773197772107
2,1,1,2,2.0556553194162612,3.1516718080386266
2,1,2,1,2.0556553194162612,3.1516718080386266
2,1,2,42,1.888290457012174,2.6631332171192925
2,1,41,42,2.166245496194058,3.077232248020775
2,1,42,2,1.888290457012174,2.6631332171192925
2,1,42,41,2.166245496194058,3.077232248020775
3,2,2,3,1.888290457012174,2.6631332171192925
3,2,3,2,1.888290457012174,2.6631332171192925
3,2,3,43,1.794320224535922,2.4038788619301408
3,2,42,43,1.9876234837909572,2.4696965419030814
3,2,43,3,1.794320224535922,2.4038788619301408
3,2,43,42,1.9876234837909572,2.4696965419030814
4,3,3,4,1.794320224535922,2.4038788619301408
4,3,4,3,1.794320224535922,2.4038788619301408
4,3,4,44,1.8849344021273389,2.4423230878855255
4,3,43,44,1.873363059980917,2.122065838960881
4,3,44,4,1.8849344021273389,2.4423230878855255
4,3,44,43,1.873363059980917,2.122065838960881
5,43,42,82,1.9876234837909572,2.4696965419030814
5,43,43,83,1.873363059980917,2.122065838960881
5,43,44,84,1.9329572820599172,2.1116806214404633
5,43,82,42,1.9876234837909572,2.4696965419030814
5,43,82,83,2.193564143540818,2.541269042746523
5,43,83,43,1.873363059980917,2.122065838960881
5,43,83,82,2.193564143540818,2.541269042746523
5,43,83,84,2.0477478557238564,2.088969706652501
5,43,84,44,1.9329572820599172,2.1116806214404633
5,43,84,83,2.0477478557238564,2.088969706652501
6,83,82,122,2.193564143540818,2.541269042746523
6,83,83,123,2.0477478557238564,2.088969706652501
6,83,84,124,2.0553725430244434,1.9651345772167943
6,83,122,82,2.193564143540818,2.541269042746523
6,83,122,123,2.509177586045264,2.883361182612589
6,83,123,83,2.0477478557238564,2.088969706652501
6,83,123,122,2.509177586045264,2.883361182612589
6,83,123,124,2.3348538380603996,2.368801167676195
6,83,124,84,2.0553725430244434,1.9651345772167943
6,83,124,123,2.3348538380603996,2.368801167676195
7,84,44,45,1.9329572820599172,2.1116806214404633
7,84,45,44,1.9329572820599172,2.1116806214404633
7,84,45,85,2.2281599149028626,2.468145116553042
7,84,84,85,2.0553725430244434,1.9651345772167943
7,84,85,45,2.2281599149028626,2.468145116553042
7,84,85,84,2.0553725430244434,1.9651345772167943
7,84,85,125,2.27780844128691,2.202230248169083
7,84,124,125,2.286248862534481,2.1245614272080102
7,84,125,85,2.27780844128691,2.202230248169083
7,84,125,124,2.286248862534481,2.1245614272080102
8,124,123,163,2.3348538380603996,2.368801167676195
8,124,124,164,2.286248862534481,2.1245614272080102
8,124,125,165,2.4220634694155443,2.1883494742013623
8,124,163,123,2.3348538380603996,2.368801167676195
8,124,163,164,2.7334525932809224,2.9182769776890463
8,124,164,124,2.286248862534481,2.1245614272080102
8,124,164,163,2.7334525932809224,2.9182769776890463
8,124,164,165,2.6418481981846416,2.6048416540136534
8,124,165,125,2.4220634694155443,2.1883494742013623
8,124,165,164,2.6418481981846416,2.6048416540136534
9,125,85,86,2.27780844128691,2.202230248169083
9,125,86,85,2.27780844128691,2.202230248169083
9,125,86,126,2.7138845424860207,2.7776203141948552
9,125,125,126,2.4220634694155443,2.1883494742013623
9,125,126,86,2.7138845424860207,2.7776203141948552
9,125,126,125,2.4220634694155443,2.1883494742013623
9,125,126,166,2.7461866970798843,2.55496109565745
9,125,165,166,2.6972551924082717,2.5098801781534377
9,125,166,126,2.7461866970798843,2.55496109565745
9,125,166,165,2.6972551924082717,2.5098801781534377
10,165,164,204,2.6418481981846416,2.6048416540136534
10,165,165,205,2.6972551924082717,2.5098801781534377
10,165,166,206,2.9072521137499256,2.6493392012053
10,165,204,164,2.6418481981846416,2.6048416540136534
10,165,204,205,3.103230224027856,3.309215652869689
10,165,205,165,2.6972551924082717,2.5098801781534377
10,165,205,204,3.103230224027856,3.309215652869689
10,165,205,206,3.1011103285184,3.1259460697474095
10,165,206,166,2.9072521137499256,2.6493392012053
10,165,206,205,3.1011103285184,3.1259460697474095
11,205,204,244,3.103230224027856,3.309215652869689
11,205,205,245,3.1011103285184,3.1259460697474095
11,205,206,246,3.2146326759585646,3.089096712764034
11,205,244,204,3.103230224027856,3.309215652869689
11,205,244,245,3.6153956081721152,4.071100644204243
11,205,245,205,3.1011103285184,3.1259460697474095
11,205,245,244,3.6153956081721152,4.071100644204243
11,205,245,246,3.586988103170659,3.891684367127276
11,205,246,206,3.2146326759585646,3.089096712764034
11,205,246,245,3.586988103170659,3.891684367127276
12,245,244,284,3.6153956081721152,4.071100644204243
12,245,245,285,3.586988103170659,3.891684367127276
12,245,246,286,3.635119441032728,3.7708087154473193
12,245,284,244,3.6153956081721152,4.071100644204243
12,245,284,285,4.101535147404833,4.719438406859711
12,245,285,245,3.586988103170659,3.891684367127276
12,245,285,284,4.101535147404833,4.719438406859711
12,245,285,286,4.07633989977845,4.61957414392351
12,245,286,246,3.635119441032728,3.7708087154473193
12,245,286,285,4.07633989977845,4.61957414392351
13,285,284,324,4.101535147404833,4.719438406859711
13,285,285,325,4.07633989977845,4.61957414392351
13,285,286,326,4.094109782783978,4.508570127556803
13,285,324,284,4.101535147404833,4.719438406859711
13,285,324,325,4.4844213013727146,5.135592810046412
13,285,325,285,4.07633989977845,4.61957414392351
13,285,325,324,4.4844213013727146,5.135592810046412
13,285,325,326,4.482051318550912,5.150024237680605
13,285,326,286,4.094109782783978,4.508570127556803
13,285,326,325,4.482051318550912,5.150024237680605
14,325,324,364,4.4844213013727146,5.135592810046412
14,325,325,365,4.482051318550912,5.150024237680605
14,325,326,366,4.4993811906663215,5.111815401563215
14,325,364,324,4.4844213013727146,5.135592810046412
14,325,364,365,4.706054376830806,5.278392861482315
14,325,365,325,4.482051318550912,5.150024237680605
14,325,365,364,4.706054376830806,5.278392861482315
14,325,365,366,4.7325027756317155,5.398612587393735
14,325,366,326,4.4993811906663215,5.111815401563215
14,325,366,365,4.7325027756317155,5.398612587393735
15,365,364,404,4.706054376830806,5.278392861482315
15,365,365,405,4.7325027756317155,5.398612587393735
15,365,366,406,4.768502615198697,5.452961575749212
15,365,404,364,4.706054376830806,5.278392861482315
15,365,404,405,4.73969965870358,5.17372937145651
15,365,405,365,4.7325027756317155,5.398612587393735
15,365,405,404,4.73969965870358,5.17372937145651
15,365,405,406,4.788139666496087,5.3636310048381
15,365,406,366,4.768502615198697,5.452961575749212
15,365,406,405,4.788139666496087,5.3636310048381
16,405,404,444,4.73969965870358,5.17372937145651
16,405,405,445,4.788139666496087,5.3636310048381
16,405,406,446,4.849627753751193,5.496085534841538
16,405,444,404,4.73969965870358,5.17372937145651
16,405,444,445,4.592615024725713,4.883747288483006
16,405,445,405,4.788139666496087,5.3636310048381
16,405,445,444,4.592615024725713,4.883747288483006
16,405,445,446,4.6468953702248665,5.100255041672996
16,405,446,406,4.849627753751193,5.496085534841538
16,405,446,445,4.6468953702248665,5.100255041672996
17,445,444,484,4.592615024725713,4.883747288483006
17,445,445,485,4.6468953702248665,5.100255041672996
17,445,446,486,4.729914075388697,5.2816898936947165
17,445,484,444,4.592615024725713,4.883747288483006
17,445,484,485,4.300978118845737,4.477542813257592
