start,end,cost,source,color_code
0,1,3.76878135147556,actual,red
0,40,3.76878135147556,actual,red
1,0,3.76878135147556,actual,red
1,2,3.1516718080386266,actual,red
1,41,3.1516718080386266,actual,red
40,0,3.76878135147556,actual,red
40,41,3.822773197772107,actual,red
40,80,2.292931427182449,forecast,grey
2,1,3.1516718080386266,actual,red
2,3,2.6631332171192925,actual,red
2,42,2.6631332171192925,actual,red
41,1,3.1516718080386266,actual,red
41,40,3.822773197772107,actual,red
41,42,3.077232248020775,actual,red
41,81,2.166245496194058,forecast,grey
3,2,2.6631332171192925,actual,red
3,4,2.4038788619301408,actual,red
3,43,2.4038788619301408,actual,red
42,2,2.6631332171192925,actual,red
42,41,3.077232248020775,actual,red
42,43,2.4696965419030814,actual,red
42,82,2.4696965419030814,actual,red
4,3,2.4038788619301408,actual,red
4,5,1.8849344021273389,forecast,grey
4,44,2.4423230878855255,actual,red
43,3,2.4038788619301408,actual,red
43,42,2.4696965419030814,actual,red
43,44,2.122065838960881,actual,red
43,83,2.122065838960881,actual,red
5,4,1.8849344021273389,forecast,grey
5,6,2.221546578550995,forecast,grey
5,45,2.221546578550995,forecast,grey
44,4,2.4423230878855255,actual,red
44,43,2.122065838960881,actual,red
44,45,2.1116806214404633,actual,red
44,84,2.1116806214404633,actual,red
6,5,2.221546578550995,forecast,grey
6,7,2.795495024440118,forecast,grey
6,46,2.795495024440118,forecast,grey
45,5,2.221546578550995,forecast,grey
45,44,2.1116806214404633,actual,red
45,46,2.2281599149028626,forecast,grey
45,85,2.468145116553042,actual,red
7,6,2.795495024440118,forecast,grey
7,8,3.5315437558928875,forecast,grey
7,47,3.5315437558928875,forecast,grey
46,6,2.795495024440118,forecast,grey
46,45,2.2281599149028626,forecast,grey
46,47,2.7531024813820624,forecast,grey
46,86,2.7531024813820624,forecast,grey
8,7,3.5315437558928875,forecast,grey
8,9,4.310209111481573,forecast,grey
8,48,4.310209111481573,forecast,grey
47,7,3.5315437558928875,forecast,grey
47,46,2.7531024813820624,forecast,grey
47,48,3.437335944517593,forecast,grey
47,87,3.437335944517593,forecast,grey
9,8,4.310209111481573,forecast,grey
9,10,5.001794216222748,forecast,grey
9,49,5.001794216222748,forecast,grey
48,8,4.310209111481573,forecast,grey
48,47,3.437335944517593,forecast,grey
48,49,4.167077294941142,forecast,grey
48,88,4.167077294941142,forecast,grey
10,9,5.001794216222748,forecast,grey
10,11,5.503577661226248,forecast,grey
10,50,5.503577661226248,forecast,grey
49,9,5.001794216222748,forecast,grey
49,48,4.167077294941142,forecast,grey
49,50,4.817961205480088,forecast,grey
49,89,4.817961205480088,forecast,grey
11,10,5.503577661226248,forecast,grey
11,12,5.7697565792694485,forecast,grey
11,51,5.7697565792694485,forecast,grey
50,10,5.503577661226248,forecast,grey
50,49,4.817961205480088,forecast,grey
50,51,5.291189458134019,forecast,grey
50,90,5.291189458134019,forecast,grey
12,11,5.7697565792694485,forecast,grey
12,13,5.823829184698243,forecast,grey
12,52,5.823829184698243,forecast,grey
51,11,5.7697565792694485,forecast,grey
51,50,5.291189458134019,forecast,grey
51,52,5.543009794327981,forecast,grey
51,91,5.543009794327981,forecast,grey
13,12,5.823829184698243,forecast,grey
13,14,5.747764672886444,forecast,grey
13,53,5.747764672886444,forecast,grey
52,12,5.823829184698243,forecast,grey
52,51,5.543009794327981,forecast,grey
52,53,5.597284343057371,forecast,grey
52,92,5.597284343057371,forecast,grey
14,13,5.747764672886444,forecast,grey
14,15,5.650704948947033,forecast,grey
14,54,5.650704948947033,forecast,grey
53,13,5.747764672886444,forecast,grey
53,52,5.597284343057371,forecast,grey
53,54,5.535257311526974,forecast,grey
