step,current_node,u,v,old_cost,new_cost
1,0,0,1,9.753746467089002,6.0454477194485206
1,0,0,15,9.753746467089002,6.0454477194485206
1,0,1,0,9.753746467089002,6.0454477194485206
1,0,1,16,9.83691539281502,7.046283383332667
1,0,15,0,9.753746467089002,6.0454477194485206
1,0,15,16,9.817113836067229,7.64530390714318
1,0,16,1,9.83691539281502,7.046283383332667
1,0,16,15,9.817113836067229,7.64530390714318
2,1,1,2,9.83691539281502,7.046283383332667
2,1,2,1,9.83691539281502,7.046283383332667
2,1,2,17,9.949153850356906,8.003540331969162
2,1,16,17,9.880162296726509,8.358977106253334
2,1,17,2,9.949153850356906,8.003540331969162
2,1,17,16,9.880162296726509,8.358977106253334
3,2,2,3,9.949153850356906,8.003540331969162
3,2,3,2,9.949153850356906,8.003540331969162
3,2,3,18,10.0,8.739126569741545
3,2,17,18,9.959247609380322,8.968647622764394
3,2,18,3,10.0,8.739126569741545
3,2,18,17,9.959247609380322,8.968647622764394
4,3,3,4,10.0,8.739126569741545
4,3,4,3,10.0,8.739126569741545
4,3,4,19,9.888906499080768,9.112134072799206
4,3,18,19,9.974996511884086,9.387421288765252
4,3,19,4,9.888906499080768,9.112134072799206
4,3,19,18,9.974996511884086,9.387421288765252
5,4,4,5,9.888906499080768,9.112134072799206
5,4,5,4,9.888906499080768,9.112134072799206
5,4,5,20,9.530067055647423,9.0577460498164
5,4,19,20,9.83753790284671,9.559055786168392
5,4,20,5,9.530067055647423,9.0577460498164
5,4,20,19,9.83753790284671,9.559055786168392
6,5,5,6,9.530067055647423,9.0577460498164
6,5,6,5,9.530067055647423,9.0577460498164
6,5,6,21,8.871973830092978,8.56602898031905
6,5,20,21,9.46786367109683,9.449008959639174
6,5,21,6,8.871973830092978,8.56602898031905
6,5,21,20,9.46786367109683,9.449008959639174
7,6,6,7,8.871973830092978,8.56602898031905
7,6,7,6,8.871973830092978,8.56602898031905
7,6,7,22,7.912264168615532,7.649151590623381
7,6,21,22,8.816227859406478,9.007172626804397
7,6,22,7,7.912264168615532,7.649151590623381
7,6,22,21,8.816227859406478,9.007172626804397
8,7,7,8,7.912264168615532,7.649151590623381
8,7,8,7,7.912264168615532,7.649151590623381
8,7,8,23,6.70642674055756,6.350458247111765
8,7,22,23,7.878015726076256,8.162722506330674
8,7,23,8,6.70642674055756,6.350458247111765
8,7,23,22,7.878015726076256,8.162722506330674
9,8,8,9,6.70642674055756,6.350458247111765
9,8,9,8,6.70642674055756,6.350458247111765
9,8,9,24,5.364572372828307,4.794776150940392
9,8,23,24,6.704481445038853,6.883825360784624
9,8,24,9,5.364572372828307,4.794776150940392
9,8,24,23,6.704481445038853,6.883825360784624
10,9,9,10,5.364572372828307,4.794776150940392
10,9,10,9,5.364572372828307,4.794776150940392
10,9,10,25,4.030839605928279,3.220810597733361
10,9,24,25,5.401254656079262,5.2657658374286305
10,9,25,10,4.030839605928279,3.220810597733361
10,9,25,24,5.401254656079262,5.2657658374286305
11,10,10,11,4.030839605928279,3.220810597733361
11,10,11,10,4.030839605928279,3.220810597733361
11,10,11,26,2.848160694064328,1.9342270772307004
11,10,25,26,4.1084839606174555,3.566112532244989
11,10,26,11,2.848160694064328,1.9342270772307004
11,10,26,25,4.1084839606174555,3.566112532244989
12,11,11,12,2.848160694064328,1.9342270772307004
12,11,12,11,2.848160694064328,1.9342270772307004
12,11,12,27,1.9223673520694808,1.182780303433098
12,11,26,27,2.96546042926077,2.1322605078386903
12,11,27,12,1.9223673520694808,1.182780303433098
12,11,27,26,2.96546042926077,2.1322605078386903
13,12,12,13,1.9223673520694808,1.182780303433098
13,12,13,12,1.9223673520694808,1.182780303433098
13,12,13,28,1.3043085892170827,1.0291158958493156
13,12,27,28,2.074331636598268,1.2486390017861924
13,12,28,13,1.3043085892170827,1.0291158958493156
13,12,28,27,2.074331636598268,1.2486390017861924
14,13,13,14,1.3043085892170827,1.0291158958493156
14,13,14,13,1.3043085892170827,1.0291158958493156
14,13,14,29,1.0,1.3146311681800225
14,13,28,29,1.4821996642334392,1.0
14,13,29,14,1.0,1.3146311681800225
14,13,29,28,1.4821996642334392,1.0
15,28,27,42,2.074331636598268,1.2486390017861924
15,28,28,43,1.4821996642334392,1.0
15,28,29,44,1.191821512408379,1.243423551364557
15,28,42,27,2.074331636598268,1.2486390017861924
15,28,42,43,2.365884661207689,1.5322974857113811
15,28,43,28,1.4821996642334392,1.0
15,28,43,42,2.365884661207689,1.5322974857113811
15,28,43,44,1.829790010890905,1.2930878949936837
15,28,44,29,1.191821512408379,1.243423551364557
15,28,44,43,1.829790010890905,1.2930878949936837
17,44,43,58,1.829790010890905,1.2930878949936837
17,44,44,59,1.5695663058681733,1.5654091515804267
17,44,58,43,1.829790010890905,1.2930878949936837
17,44,58,59,2.330252816824748,1.8436177495022792
17,44,59,44,1.5695663058681733,1.5654091515804267
17,44,59,58,2.330252816824748,1.8436177495022792
18,59,58,73,2.330252816824748,1.8436177495022792
18,59,59,74,2.1193297494733216,2.1983273709908313
18,59,73,58,2.330252816824748,1.8436177495022792
18,59,73,74,2.9580348552238287,2.5936043585157016
18,59,74,59,2.1193297494733216,2.1983273709908313
18,59,74,73,2.9580348552238287,2.5936043585157016
19,74,73,88,2.9580348552238287,2.5936043585157016
19,74,74,89,2.816859625817086,3.063666567478223
19,74,88,73,2.9580348552238287,2.5936043585157016
19,74,88,89,3.679686887742791,3.4998487636108258
19,74,89,74,2.816859625817086,3.063666567478223
19,74,89,88,3.679686887742791,3.4998487636108258
20,89,88,103,3.679686887742791,3.4998487636108258
20,89,89,104,3.6268257862865623,4.1007889968611755
20,89,103,88,3.679686887742791,3.4998487636108258
20,89,103,104,4.455320522801033,4.520352973888629
20,89,104,89,3.6268257862865623,4.1007889968611755
20,89,104,103,4.455320522801033,4.520352973888629
21,104,103,118,4.455320522801033,4.520352973888629
21,104,104,119,4.504009188935486,5.254986077007362
21,104,118,103,4.455320522801033,4.520352973888629
21,104,118,119,5.240287119239506,5.597234141783533
21,104,119,104,4.504009188935486,5.254986077007362
21,104,119,118,5.240287119239506,5.597234141783533
22,119,118,133,5.240287119239506,5.597234141783533
22,119,119,134,5.3958405516204255,6.458049405669975
22,119,133,118,5.240287119239506,5.597234141783533
22,119,133,134,5.9875006534665225,6.651409177135137
22,119,134,119,5.3958405516204255,6.458049405669975
22,119,134,133,5.9875006534665225,6.651409177135137
23,134,133,148,5.9875006534665225,6.651409177135137
23,134,134,149,6.246218526321547,7.6199348845391235
23,134,148,133,5.9875006534665225,6.651409177135137
23,134,148,149,6.651557406323969,7.592036936132288
23,134,149,134,6.246218526321547,7.6199348845391235
23,134,149,148,6.651557406323969,7.592036936132288
24,149,148,163,6.651557406323969,7.592036936132288
24,149,149,164,7.001332596405376,8.637897743004347
24,149,163,148,6.651557406323969,7.592036936132288
24,149,163,164,7.195456387452978,8.332750900299844
24,149,164,149,7.001332596405376,8.637897743004347
24,149,164,163,7.195456387452978,8.332750900299844
25,164,163,178,7.195456387452978,8.332750900299844
25,164,164,179,7.618008628965701,9.415939980413569
25,164,178,163,7.195456387452978,8.332750900299844
25,164,178,179,7.5987791277059635,8.805004773891467
25,164,179,164,7.618008628965701,9.415939980413569
25,164,179,178,7.5987791277059635,8.805004773891467
26,179,178,193,7.5987791277059635,8.805004773891467
26,179,179,194,8.073136620678415,9.882503738588476
26,179,193,178,7.5987791277059635,8.805004773891467
26,179,193,194,7.863440803575132,8.965809072351112
26,179,194,179,8.073136620678415,9.882503738588476
26,179,194,193,7.863440803575132,8.965809072351112
27,194,193,208,7.863440803575132,8.965809072351112
27,194,194,209,8.369856841018432,10.0
27,194,208,193,7.863440803575132,8.965809072351112
27,194,208,209,8.011840965041317,8.804892141983956
27,194,209,194,8.369856841018432,10.0
27,194,209,208,8.011840965041317,8.804892141983956
28,209,208,223,8.011840965041317,8.804892141983956
28,209,209,224,8.534892658089461,9.769212876527492
28,209,223,208,8.011840965041317,8.804892141983956
28,209,223,224,8.075000164773478,8.356597214283303
28,209,224,209,8.534892658089461,9.769212876527492
28,209,224,223,8.075000164773478,8.356597214283303
