start,end,cost,source,color_code
0,1,6.0454477194485206,actual,red
0,15,6.0454477194485206,actual,red
1,0,6.0454477194485206,actual,red
1,2,7.046283383332667,actual,red
1,16,7.046283383332667,actual,red
15,0,6.0454477194485206,actual,red
15,16,7.64530390714318,actual,red
15,30,9.817113836067229,forecast,grey
2,1,7.046283383332667,actual,red
2,3,8.003540331969162,actual,red
2,17,8.003540331969162,actual,red
16,1,7.046283383332667,actual,red
16,15,7.64530390714318,actual,red
16,17,8.358977106253334,actual,red
16,31,9.880162296726509,forecast,grey
3,2,8.003540331969162,actual,red
3,4,8.739126569741545,actual,red
3,18,8.739126569741545,actual,red
17,2,8.003540331969162,actual,red
17,16,8.358977106253334,actual,red
17,18,8.968647622764394,actual,red
17,32,9.959247609380322,forecast,grey
4,3,8.739126569741545,actual,red
4,5,9.112134072799206,actual,red
4,19,9.112134072799206,actual,red
18,3,8.739126569741545,actual,red
18,17,8.968647622764394,actual,red
18,19,9.387421288765252,actual,red
18,33,9.974996511884086,forecast,grey
5,4,9.112134072799206,actual,red
5,6,9.0577460498164,actual,red
5,20,9.0577460498164,actual,red
19,4,9.112134072799206,actual,red
19,18,9.387421288765252,actual,red
19,20,9.559055786168392,actual,red
19,34,9.83753790284671,forecast,grey
6,5,9.0577460498164,actual,red
6,7,8.56602898031905,actual,red
6,21,8.56602898031905,actual,red
20,5,9.0577460498164,actual,red
20,19,9.559055786168392,actual,red
20,21,9.449008959639174,actual,red
20,35,9.46786367109683,forecast,grey
7,6,8.56602898031905,actual,red
7,8,7.649151590623381,actual,red
7,22,7.649151590623381,actual,red
21,6,8.56602898031905,actual,red
21,20,9.449008959639174,actual,red
21,22,9.007172626804397,actual,red
21,36,8.816227859406478,forecast,grey
8,7,7.649151590623381,actual,red
8,9,6.350458247111765,actual,red
8,23,6.350458247111765,actual,red
22,7,7.649151590623381,actual,red
22,21,9.007172626804397,actual,red
22,23,8.162722506330674,actual,red
22,37,7.878015726076256,forecast,grey
9,8,6.350458247111765,actual,red
9,10,4.794776150940392,actual,red
9,24,4.794776150940392,actual,red
23,8,6.350458247111765,actual,red
23,22,8.162722506330674,actual,red
23,24,6.883825360784624,actual,red
23,38,6.704481445038853,forecast,grey
10,9,4.794776150940392,actual,red
10,11,3.220810597733361,actual,red
10,25,3.220810597733361,actual,red
24,9,4.794776150940392,actual,red
24,23,6.883825360784624,actual,red
24,25,5.2657658374286305,actual,red
24,39,5.401254656079262,forecast,grey
11,10,3.220810597733361,actual,red
11,12,1.9342270772307004,actual,red
11,26,1.9342270772307004,actual,red
25,10,3.220810597733361,actual,red
25,24,5.2657658374286305,actual,red
25,26,3.566112532244989,actual,red
25,40,4.1084839606174555,forecast,grey
12,11,1.9342270772307004,actual,red
12,13,1.182780303433098,actual,red
12,27,1.182780303433098,actual,red
26,11,1.9342270772307004,actual,red
26,25,3.566112532244989,actual,red
26,27,2.1322605078386903,actual,red
26,41,2.96546042926077,forecast,grey
13,12,1.182780303433098,actual,red
13,14,1.0291158958493156,actual,red
13,28,1.0291158958493156,actual,red
27,12,1.182780303433098,actual,red
27,26,2.1322605078386903,actual,red
27,28,1.2486390017861924,actual,red
27,42,1.2486390017861924,actual,red
14,13,1.0291158958493156,actual,red
14,29,1.3146311681800225,actual,red
28,13,1.0291158958493156,actual,red
28,27,1.2486390017861924,actual,red
28,29,1.0,actual,red
28,43,1.0,actual,red
29,14,1.3146311681800225,actual,red
29,28,1.0,actual,red
29,44,1.243423551364557,actual,red
30,15,9.817113836067229,forecast,grey
30,31,9.862286572188385,forecast,grey
30,45,9.862286572188385,forecast,grey
31,16,9.880162296726509,forecast,grey
31,30,9.862286572188385,forecast,grey
31,32,9.891065482386,forecast,grey
31,46,9.891065482386,forecast,grey
32,17,9.959247609380322,forecast,grey
32,31,9.891065482386,forecast,grey
32,33,9.913881927330216,forecast,grey
32,47,9.913881927330216,forecast,grey
33,18,9.974996511884086,forecast,grey
33,32,9.913881927330216,forecast,grey
33,34,9.870607949606445,forecast,grey
33,48,9.870607949606445,forecast,grey
34,19,9.83753790284671,forecast,grey
34,33,9.870607949606445,forecast,grey
34,35,9.690032489460023,forecast,grey
34,49,9.690032489460023,forecast,grey
35,20,9.46786367109683,forecast,grey
35,34,9.690032489460023,forecast,grey
35,36,9.305291347808424,forecast,grey
35,50,9.305291347808424,forecast,grey
36,21,8.816227859406478,forecast,grey
36,35,9.305291347808424,forecast,grey
36,37,8.670259148164767,forecast,grey
36,51,8.670259148164767,forecast,grey
