step,current_node,u,v,old_cost,new_cost
1,0,0,1,5.901835298730607,7.035544693952231
1,0,0,15,5.901835298730607,7.035544693952231
1,0,1,0,5.901835298730607,7.035544693952231
1,0,1,16,5.485766286652504,5.626300107399676
1,0,15,0,5.901835298730607,7.035544693952231
1,0,15,16,5.975501632639951,6.5075457902277005
1,0,16,1,5.485766286652504,5.626300107399676
1,0,16,15,5.975501632639951,6.5075457902277005
2,1,1,2,5.485766286652504,5.626300107399676
2,1,2,1,5.485766286652504,5.626300107399676
2,1,2,17,4.778958242072298,4.255877811162586
2,1,16,17,5.5713499584099475,5.189360246842665
2,1,17,2,4.778958242072298,4.255877811162586
2,1,17,16,5.5713499584099475,5.189360246842665
3,2,2,3,4.778958242072298,4.255877811162586
3,2,3,2,4.778958242072298,4.255877811162586
3,2,3,18,3.982929319880193,3.095056118818218
3,2,17,18,4.883392932516058,3.968648761658364
3,2,18,3,3.982929319880193,3.095056118818218
3,2,18,17,4.883392932516058,3.968648761658364
4,3,3,4,3.982929319880193,3.095056118818218
4,3,4,3,3.982929319880193,3.095056118818218
4,3,4,19,3.3056779345151446,2.283883812893144
4,3,18,19,4.10490426434997,2.967030049426128
4,3,19,4,3.3056779345151446,2.283883812893144
4,3,19,18,4.10490426434997,2.967030049426128
5,4,4,5,3.3056779345151446,2.283883812893144
5,4,5,4,3.3056779345151446,2.283883812893144
5,4,5,20,2.905009580011721,1.9208183064232756
5,4,19,20,3.43517312737215,2.2715018516586927
5,4,20,5,2.905009580011721,1.9208183064232756
5,4,20,19,3.43517312737215,2.2715018516586927
6,5,5,6,2.905009580011721,1.9208183064232756
6,5,6,5,2.905009580011721,1.9208183064232756
6,5,6,21,2.861135311029154,2.044550083357215
6,5,20,21,3.025691701154255,1.945701531863189
6,5,21,6,2.861135311029154,2.044550083357215
6,5,21,20,3.025691701154255,1.945701531863189
7,20,19,34,3.43517312737215,2.2715018516586927
7,20,20,35,3.025691701154255,1.945701531863189
7,20,21,36,2.954723041459047,2.024833431878188
7,20,34,19,3.43517312737215,2.2715018516586927
7,20,34,35,3.675065050944837,2.6194566764319474
7,20,35,20,3.025691701154255,1.945701531863189
7,20,35,34,3.675065050944837,2.6194566764319474
7,20,35,36,3.2507291247073744,2.3037977421969233
7,20,36,21,2.954723041459047,2.024833431878188
