start,end,cost,source,color_code
0,1,7.035544693952231,actual,red
0,15,7.035544693952231,actual,red
1,0,7.035544693952231,actual,red
1,2,5.626300107399676,actual,red
1,16,5.626300107399676,actual,red
15,0,7.035544693952231,actual,red
15,16,6.5075457902277005,actual,red
15,30,5.975501632639951,forecast,grey
2,1,5.626300107399676,actual,red
2,3,4.255877811162586,actual,red
2,17,4.255877811162586,actual,red
16,1,5.626300107399676,actual,red
16,15,6.5075457902277005,actual,red
16,17,5.189360246842665,actual,red
16,31,5.5713499584099475,forecast,grey
3,2,4.255877811162586,actual,red
3,4,3.095056118818218,actual,red
3,18,3.095056118818218,actual,red
17,2,4.255877811162586,actual,red
17,16,5.189360246842665,actual,red
17,18,3.968648761658364,actual,red
17,32,4.883392932516058,forecast,grey
4,3,3.095056118818218,actual,red
4,5,2.283883812893144,actual,red
4,19,2.283883812893144,actual,red
18,3,3.095056118818218,actual,red
18,17,3.968648761658364,actual,red
18,19,2.967030049426128,actual,red
18,33,4.10490426434997,forecast,grey
5,4,2.283883812893144,actual,red
5,6,1.9208183064232756,actual,red
5,20,1.9208183064232756,actual,red
19,4,2.283883812893144,actual,red
19,18,2.967030049426128,actual,red
19,20,2.2715018516586927,actual,red
19,34,2.2715018516586927,actual,red
6,5,1.9208183064232756,actual,red
6,7,2.861135311029154,forecast,grey
6,21,2.044550083357215,actual,red
20,5,1.9208183064232756,actual,red
20,19,2.2715018516586927,actual,red
20,21,1.945701531863189,actual,red
20,35,1.945701531863189,actual,red
7,6,2.861135311029154,forecast,grey
7,8,3.1751883868886615,forecast,grey
7,22,3.1751883868886615,forecast,grey
21,6,2.044550083357215,actual,red
21,20,1.945701531863189,actual,red
21,22,2.954723041459047,forecast,grey
21,36,2.024833431878188,actual,red
8,7,3.1751883868886615,forecast,grey
8,9,3.783022364054807,forecast,grey
8,23,3.783022364054807,forecast,grey
22,7,3.1751883868886615,forecast,grey
22,21,2.954723041459047,forecast,grey
22,23,3.226308282430697,forecast,grey
22,37,3.226308282430697,forecast,grey
9,8,3.783022364054807,forecast,grey
9,10,4.576710455035534,forecast,grey
9,24,4.576710455035534,forecast,grey
23,8,3.783022364054807,forecast,grey
23,22,3.226308282430697,forecast,grey
23,24,3.7830108098157016,forecast,grey
23,38,3.7830108098157016,forecast,grey
10,9,4.576710455035534,forecast,grey
10,11,5.430215400491166,forecast,grey
10,25,5.430215400491166,forecast,grey
24,9,4.576710455035534,forecast,grey
24,23,3.7830108098157016,forecast,grey
24,25,4.525252506628085,forecast,grey
24,39,4.525252506628085,forecast,grey
11,10,5.430215400491166,forecast,grey
11,12,6.225592617656547,forecast,grey
11,26,6.225592617656547,forecast,grey
25,10,5.430215400491166,forecast,grey
25,24,4.525252506628085,forecast,grey
25,26,5.3344667210293215,forecast,grey
25,40,5.3344667210293215,forecast,grey
12,11,6.225592617656547,forecast,grey
12,13,6.873468118971508,forecast,grey
12,27,6.873468118971508,forecast,grey
26,11,6.225592617656547,forecast,grey
26,25,5.3344667210293215,forecast,grey
26,27,6.097264043220465,forecast,grey
26,41,6.097264043220465,forecast,grey
13,12,6.873468118971508,forecast,grey
13,14,7.321343947450975,forecast,grey
13,28,7.321343947450975,forecast,grey
27,12,6.873468118971508,forecast,grey
27,26,6.097264043220465,forecast,grey
27,28,6.725033714331298,forecast,grey
27,42,6.725033714331298,forecast,grey
14,13,7.321343947450975,forecast,grey
14,29,7.547727653054137,forecast,grey
28,13,7.321343947450975,forecast,grey
28,27,6.725033714331298,forecast,grey
28,29,7.162861773829232,forecast,grey
28,43,7.162861773829232,forecast,grey
29,14,7.547727653054137,forecast,grey
29,28,7.162861773829232,forecast,grey
29,44,7.385550225838191,forecast,grey
30,15,5.975501632639951,forecast,grey
30,31,6.114353847680417,forecast,grey
30,45,6.114353847680417,forecast,grey
31,16,5.5713499584099475,forecast,grey
31,30,6.114353847680417,forecast,grey
31,32,5.731537682186839,forecast,grey
31,46,5.731537682186839,forecast,grey
32,17,4.883392932516058,forecast,grey
32,31,5.731537682186839,forecast,grey
32,33,5.077432261304333,forecast,grey
32,47,5.077432261304333,forecast,grey
33,18,4.10490426434997,forecast,grey
33,32,5.077432261304333,forecast,grey
33,34,4.330684868226895,forecast,grey
33,48,4.330684868226895,forecast,grey
34,19,2.2715018516586927,actual,red
34,33,4.330684868226895,forecast,grey
34,35,2.6194566764319474,actual,red
34,49,2.6194566764319474,actual,red
35,20,1.945701531863189,actual,red
35,34,2.6194566764319474,actual,red
35,36,2.3037977421969233,actual,red
35,50,2.3037977421969233,actual,red
36,21,2.024833431878188,actual,red
36,35,2.3037977421969233,actual,red
36,37,3.132352393806222,forecast,grey
36,51,2.2936193751826934,actual,red
37,22,3.226308282430697,forecast,grey
37,36,3.132352393806222,forecast,grey
37,38,3.32911399235933,forecast,grey
37,52,3.32911399235933,forecast,grey
38,23,3.7830108098157016,forecast,grey
38,37,3.32911399235933,forecast,grey
38,39,3.795645248299849,forecast,grey
38,53,3.795645248299849,forecast,grey
39,24,4.525252506628085,forecast,grey
39,38,3.795645248299849,forecast,grey
39,40,4.44750059707116,forecast,grey
39,54,4.44750059707116,forecast,grey
40,25,5.3344667210293215,forecast,grey
40,39,4.44750059707116,forecast,grey
40,41,5.179692351244001,forecast,grey
40,55,5.179692351244001,forecast,grey
41,26,6.097264043220465,forecast,grey
41,40,5.179692351244001,forecast,grey
41,42,5.887015591150841,forecast,grey
41,56,5.887015591150841,forecast,grey
42,27,6.725033714331298,forecast,grey
42,41,5.887015591150841,forecast,grey
42,43,6.481917827618832,forecast,grey
42,57,6.481917827618832,forecast,grey
43,28,7.162861773829232,forecast,grey
43,42,6.481917827618832,forecast,grey
43,44,6.904516025558666,forecast,grey
43,58,6.904516025558666,forecast,grey
44,29,7.385550225838191,forecast,grey
44,43,6.904516025558666,forecast,grey
44,59,7.122223795475185,forecast,grey
45,30,6.114353847680417,forecast,grey
45,46,6.287479256756463,forecast,grey
45,60,6.287479256756463,forecast,grey
46,31,5.731537682186839,forecast,grey
46,45,6.287479256756463,forecast,grey
46,47,5.931737561207626,forecast,grey
46,61,5.931737561207626,forecast,grey
47,32,5.077432261304333,forecast,grey
47,46,5.931737561207626,forecast,grey
47,48,5.321027547379996,forecast,grey
47,62,5.321027547379996,forecast,grey
48,33,4.330684868226895,forecast,grey
