node_id,x,y
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,0,1
21,1,1
22,2,1
23,3,1
24,4,1
25,5,1
26,6,1
27,7,1
28,8,1
29,9,1
30,10,1
31,11,1
32,12,1
33,13,1
34,14,1
35,15,1
36,16,1
37,17,1
38,18,1
39,19,1
40,0,2
41,1,2
42,2,2
43,3,2
44,4,2
45,5,2
46,6,2
47,7,2
48,8,2
49,9,2
50,10,2
51,11,2
52,12,2
53,13,2
54,14,2
55,15,2
56,16,2
57,17,2
58,18,2
59,19,2
60,0,3
61,1,3
62,2,3
63,3,3
64,4,3
65,5,3
66,6,3
67,7,3
68,8,3
69,9,3
70,10,3
71,11,3
72,12,3
73,13,3
74,14,3
75,15,3
76,16,3
77,17,3
78,18,3
79,19,3
80,0,4
81,1,4
82,2,4
83,3,4
84,4,4
85,5,4
86,6,4
87,7,4
88,8,4
89,9,4
90,10,4
91,11,4
92,12,4
93,13,4
94,14,4
95,15,4
96,16,4
97,17,4
98,18,4
99,19,4
100,0,5
101,1,5
102,2,5
103,3,5
104,4,5
105,5,5
106,6,5
107,7,5
108,8,5
109,9,5
110,10,5
111,11,5
112,12,5
113,13,5
114,14,5
115,15,5
116,16,5
117,17,5
118,18,5
119,19,5
120,0,6
121,1,6
122,2,6
123,3,6
124,4,6
125,5,6
126,6,6
127,7,6
128,8,6
129,9,6
130,10,6
131,11,6
132,12,6
133,13,6
134,14,6
135,15,6
136,16,6
137,17,6
138,18,6
139,19,6
140,0,7
141,1,7
142,2,7
143,3,7
144,4,7
145,5,7
146,6,7
147,7,7
148,8,7
149,9,7
150,10,7
151,11,7
152,12,7
153,13,7
154,14,7
155,15,7
156,16,7
157,17,7
158,18,7
159,19,7
160,0,8
161,1,8
162,2,8
163,3,8
164,4,8
165,5,8
166,6,8
167,7,8
168,8,8
169,9,8
170,10,8
171,11,8
172,12,8
173,13,8
174,14,8
175,15,8
176,16,8
177,17,8
178,18,8
179,19,8
180,0,9
181,1,9
182,2,9
183,3,9
184,4,9
185,5,9
186,6,9
187,7,9
188,8,9
189,9,9
190,10,9
191,11,9
192,12,9
193,13,9
194,14,9
195,15,9
196,16,9
197,17,9
198,18,9
199,19,9
200,0,10
201,1,10
202,2,10
203,3,10
204,4,10
205,5,10
206,6,10
207,7,10
208,8,10
209,9,10
210,10,10
211,11,10
212,12,10
213,13,10
214,14,10
215,15,10
216,16,10
217,17,10
218,18,10
219,19,10
220,0,11
221,1,11
222,2,11
223,3,11
224,4,11
225,5,11
226,6,11
227,7,11
228,8,11
229,9,11
230,10,11
231,11,11
232,12,11
233,13,11
234,14,11
235,15,11
236,16,11
237,17,11
238,18,11
239,19,11
240,0,12
241,1,12
242,2,12
243,3,12
244,4,12
245,5,12
246,6,12
247,7,12
248,8,12
249,9,12
250,10,12
251,11,12
252,12,12
253,13,12
254,14,12
255,15,12
256,16,12
257,17,12
258,18,12
259,19,12
260,0,13
261,1,13
262,2,13
263,3,13
264,4,13
265,5,13
266,6,13
267,7,13
268,8,13
269,9,13
270,10,13
271,11,13
272,12,13
273,13,13
274,14,13
275,15,13
276,16,13
277,17,13
278,18,13
279,19,13
280,0,14
281,1,14
282,2,14
283,3,14
284,4,14
285,5,14
286,6,14
287,7,14
288,8,14
289,9,14
290,10,14
291,11,14
292,12,14
293,13,14
294,14,14
295,15,14
296,16,14
297,17,14
298,18,14
299,19,14
300,0,15
301,1,15
302,2,15
303,3,15
304,4,15
305,5,15
306,6,15
307,7,15
308,8,15
309,9,15
310,10,15
311,11,15
312,12,15
313,13,15
314,14,15
315,15,15
316,16,15
317,17,15
318,18,15
319,19,15
320,0,16
321,1,16
322,2,16
323,3,16
324,4,16
325,5,16
326,6,16
327,7,16
328,8,16
329,9,16
330,10,16
331,11,16
332,12,16
333,13,16
334,14,16
335,15,16
336,16,16
337,17,16
338,18,16
339,19,16
340,0,17
341,1,17
342,2,17
343,3,17
344,4,17
345,5,17
346,6,17
347,7,17
348,8,17
349,9,17
350,10,17
351,11,17
352,12,17
353,13,17
354,14,17
355,15,17
356,16,17
357,17,17
358,18,17
359,19,17
360,0,18
361,1,18
362,2,18
363,3,18
364,4,18
365,5,18
366,6,18
367,7,18
368,8,18
369,9,18
370,10,18
371,11,18
372,12,18
373,13,18
374,14,18
375,15,18
376,16,18
377,17,18
378,18,18
379,19,18
380,0,19
381,1,19
382,2,19
383,3,19
384,4,19
385,5,19
386,6,19
387,7,19
388,8,19
389,9,19
390,10,19
391,11,19
392,12,19
393,13,19
394,14,19
395,15,19
396,16,19
397,17,19
398,18,19
399,19,19
