start,end,cost,source,color_code
0,1,7.550039084433409,actual,red
0,40,7.550039084433409,actual,red
1,0,7.550039084433409,actual,red
1,2,7.271541302626373,actual,red
1,41,7.271541302626373,actual,red
40,0,7.550039084433409,actual,red
40,41,7.358862704308823,actual,red
40,80,7.644638836495505,forecast,grey
2,1,7.271541302626373,actual,red
2,3,6.94108792911808,actual,red
2,42,6.94108792911808,actual,red
41,1,7.271541302626373,actual,red
41,40,7.358862704308823,actual,red
41,42,7.376083048847667,actual,red
41,81,7.490451051584269,forecast,grey
3,2,6.94108792911808,actual,red
3,4,6.617274061853249,actual,red
3,43,6.617274061853249,actual,red
42,2,6.94108792911808,actual,red
42,41,7.376083048847667,actual,red
42,43,7.2374709365191805,actual,red
42,82,7.171632345910815,forecast,grey
4,3,6.617274061853249,actual,red
4,5,6.321544591083634,actual,red
4,44,6.321544591083634,actual,red
43,3,6.617274061853249,actual,red
43,42,7.2374709365191805,actual,red
43,44,6.957686799338802,actual,red
43,83,6.678808354771181,forecast,grey
5,4,6.321544591083634,actual,red
5,6,6.0329262116824065,actual,red
5,45,6.0329262116824065,actual,red
44,4,6.321544591083634,actual,red
44,43,6.957686799338802,actual,red
44,45,6.553668909945912,actual,red
44,84,6.018965084084048,forecast,grey
6,5,6.0329262116824065,actual,red
6,7,5.707371568101437,actual,red
6,46,5.707371568101437,actual,red
45,5,6.0329262116824065,actual,red
45,44,6.553668909945912,actual,red
45,46,6.03924253904334,actual,red
45,85,5.225168211556717,forecast,grey
7,6,5.707371568101437,actual,red
7,8,5.306507939998021,actual,red
7,47,5.306507939998021,actual,red
46,6,5.707371568101437,actual,red
46,45,6.03924253904334,actual,red
46,47,5.43295374826491,actual,red
46,86,4.356004986927472,forecast,grey
8,7,5.306507939998021,actual,red
8,9,4.818099017211775,actual,red
8,48,4.818099017211775,actual,red
47,7,5.306507939998021,actual,red
47,46,5.43295374826491,actual,red
47,48,4.768735906438036,actual,red
47,87,3.486206695013977,forecast,grey
9,8,4.818099017211775,actual,red
9,10,4.2602378473584075,actual,red
9,49,4.2602378473584075,actual,red
48,8,4.818099017211775,actual,red
48,47,4.768735906438036,actual,red
48,49,4.097518938127408,actual,red
48,88,2.6934183047745006,forecast,grey
10,9,4.2602378473584075,actual,red
10,11,3.6740644693855673,actual,red
10,50,3.6740644693855673,actual,red
49,9,4.2602378473584075,actual,red
49,48,4.097518938127408,actual,red
