order,edge_id,u,v,nominal_forecast,deviation_abs,covered_by_pi,rho_implied,robust_cost_component
1,0,0,1,7.719332153309188,0.1692930688757794,True,0.0,0.0
2,4,1,2,7.568089464073593,0.2965481614472205,True,0.0,0.0
3,8,2,3,7.257998915267375,0.3169109861492956,True,0.0,0.0
4,12,3,4,6.782891003999561,0.165616942146312,True,0.0,0.0
5,16,4,5,6.15011859866631,0.1714259924173236,True,0.0,0.0
6,20,5,6,5.388457260973041,0.6444689507093653,True,0.0,0.0
7,24,6,7,4.54816538320623,1.1592061848952069,True,0.0,0.0
8,28,7,8,3.694215391713806,1.6122925482842143,True,0.0,0.0
9,32,8,9,2.896306490054071,1.921792527157704,True,0.0,0.0
10,36,9,10,2.2193687681715932,2.0408690791868143,True,0.0,0.0
11,40,10,11,1.716905694257863,1.957158775127704,True,0.0,0.0
12,46,11,51,1.4275937738814004,1.6877672621737354,True,0.0,0.0
13,204,51,91,1.377062360751566,1.1955144796986272,True,0.0,0.0
14,362,91,131,1.3282388831454337,0.7440794532447033,True,0.0,0.0
15,520,131,171,1.3659487645191262,0.3517719085780637,True,0.0,0.0
16,678,171,211,1.5760255801083551,0.0752924480817625,True,0.0,0.0
17,836,211,251,2.012923147266223,0.0170509065433854,True,0.0,0.0
18,994,251,291,2.6764020734824716,0.1128975218321879,True,0.0,0.0
19,1152,291,331,3.5039072591870606,0.4399033010833233,True,0.0,0.0
20,1310,331,371,4.381524557266417,0.867624593902744,True,0.0,0.0
21,1468,371,411,5.171862978985983,1.2513799977643734,True,0.0,0.0
22,1626,411,451,5.7517773410825255,1.4448612091818775,True,0.0,0.0
23,1784,451,491,6.048268327075535,1.355443038448107,True,0.0,0.0
24,1942,491,531,6.059770670326644,0.9873480250352512,True,0.0,0.0
25,2100,531,571,5.854031645184762,0.4521956906304645,True,0.0,0.0
26,2258,571,611,5.542012254801426,0.0641954736221723,True,0.0,0.0
27,2414,611,612,5.236750124385898,0.371722782915441,True,0.0,0.0
28,2418,612,613,4.870621697393798,0.2579948773447995,True,0.0,0.0
29,2424,613,653,4.456696054700446,0.0915620651063822,True,0.0,0.0
30,2580,653,654,3.9895412093702225,0.0974732917192096,True,0.0,0.0
31,2584,654,655,3.4615018225454124,0.0749637854981588,True,0.0,0.0
32,2590,655,695,2.972410880974237,0.1709247152186948,True,0.0,0.0
33,2746,695,696,2.537694142986403,0.3855604081255221,True,0.0,0.0
34,2750,696,697,2.0937820798672195,0.3332188529265343,True,0.0,0.0
35,2756,697,737,1.804565025223808,0.1981537088710556,True,0.0,0.0
36,2912,737,738,1.5010917807147028,0.4209675802659434,True,0.0,0.0
37,2918,738,778,1.3676486890123902,0.2348712234396597,True,0.0,0.0
38,3074,778,779,1.2637407953908786,0.4800984278057407,True,0.0,0.0
39,3080,779,819,1.2880217285067508,0.3694043462626399,True,0.0,0.0
40,3236,819,820,1.388013010574812,0.6422434689079886,True,0.0,0.0
41,3240,820,821,1.5145444466753,0.6789900516292058,True,0.0,0.0
42,3244,821,822,1.6971384010858026,0.8381209256947693,True,0.0,0.0
43,3248,822,823,1.8629990250064576,1.0420786451440052,True,0.0,0.0
44,3252,823,824,1.9510174672742948,1.1779669972692572,True,0.0,0.0
45,3256,824,825,1.935451522999715,1.159399480168266,True,0.0,0.0
46,3260,825,826,1.838735480895345,0.9803693463026708,True,0.0,0.0
47,3266,826,866,1.725971795886355,0.7273915314617376,True,0.0,0.0
48,3422,866,867,1.6384077201263696,0.9608895960368606,True,0.0,0.0
49,3428,867,907,1.5706100448432585,0.7563662332075465,True,0.0,0.0
50,3586,907,947,1.543238351730205,0.9651834781113277,True,0.0,0.0
51,3742,947,948,1.5661958932258655,1.0870634733489926,True,0.0,0.0
52,3748,948,988,1.5552097098788622,0.9256618183416536,True,0.0,0.0
53,3906,988,1028,1.5673678782795246,0.9033082050428338,True,0.0,0.0
54,4062,1028,1029,1.6274225320834783,0.8160580506579351,True,0.0,0.0
55,4066,1029,1030,1.7231825942027323,0.7186924399585028,True,0.0,0.0
56,4070,1030,1031,1.945781171179404,0.7197282270976804,True,0.0,0.0
57,4074,1031,1032,2.2280915612505887,0.8103930872181051,True,0.0,0.0
58,4078,1032,1033,2.490947330355,0.951807728199884,True,0.0,0.0
59,4082,1033,1034,2.6664264009025507,1.0952538488360195,True,0.0,0.0
60,4086,1034,1035,2.7170084821173734,1.2015146244621775,True,0.0,0.0
61,4090,1035,1036,2.643944583149697,1.2493480478376453,True,0.0,0.0
62,4094,1036,1037,2.482772543741845,1.2337503163882255,True,0.0,0.0
63,4098,1037,1038,2.289107959485148,1.1626682256486809,True,0.0,0.0
64,4102,1038,1039,2.121097045496062,1.059479854486009,True,0.0,0.0
65,4106,1039,1079,2.0246866806147947,0.9694302210956264,True,0.0,0.0
66,4264,1079,1119,2.0687250880570813,1.2416808189893636,True,0.0,0.0
67,4422,1119,1159,2.111328956713261,1.503109711058728,True,0.0,0.0
68,4580,1159,1199,2.146772056554875,1.6523429804182448,True,0.0,0.0
69,4738,1199,1239,2.177017192416343,1.6139907525796078,True,0.0,0.0
70,4896,1239,1279,2.212196804110085,1.373615171429178,True,0.0,0.0
71,5054,1279,1319,2.2657214277569686,0.9910036831603142,True,0.0,0.0
72,5212,1319,1359,2.3456121715179035,0.5823629972587114,True,0.0,0.0
73,5370,1359,1399,2.446662947421685,0.2753647139705069,True,0.0,0.0
74,5528,1399,1439,2.5488041563052724,0.1558674912268718,True,0.0,0.0
75,5686,1439,1479,2.62458054560629,0.2323018566372328,True,0.0,0.0
76,5844,1479,1519,2.6534054138388754,0.4369710348033617,True,0.0,0.0
77,6002,1519,1559,2.634828267446833,0.6649723767598821,True,0.0,0.0
78,6160,1559,1599,2.591457348183769,0.8310511260864506,True,0.0,0.0
,,,,,,,,
TOTAL_NOMINAL_COST,,,,228.00574678081966,,,,
TOTAL_ROBUST_OBJECTIVE,,,,228.00574678081966,,,,
