order,edge_id,u,v,nominal_forecast,deviation_abs,covered_by_pi,rho_implied,robust_cost_component
1,2,0,40,3.981478570834384,0.6576770353704813,True,0.0,0.0
2,160,40,80,4.376119941098008,0.7872607844149719,True,0.0,0.0
3,318,80,120,5.090433098880533,0.97139359819833,True,0.0,0.0
4,476,120,160,5.986492498554651,1.264600536243944,True,0.0,0.0
5,634,160,200,6.888346844084887,1.5909618062821815,True,0.0,0.0
6,792,200,240,7.618486157039847,1.7803293137337235,True,0.0,0.0
7,950,240,280,8.038853753300657,1.6733141796916886,True,0.0,0.0
8,1108,280,320,8.084100739868312,1.227417934258007,True,0.0,0.0
9,1266,320,360,7.774607264666027,0.5543005245556358,True,0.0,0.0
10,1424,360,400,7.2036631355233265,0.1349512449440197,True,0.0,0.0
11,1582,400,440,6.5039897700392935,0.6382345101310305,True,0.0,0.0
12,1740,440,480,5.807323866413583,0.8545464932938245,True,0.0,0.0
13,1898,480,520,5.212274897294801,0.8083338132719682,True,0.0,0.0
14,2056,520,560,4.769856684786745,0.605419740790829,True,0.0,0.0
15,2214,560,600,4.4870913090295925,0.363036841553769,True,0.0,0.0
16,2372,600,640,4.342079092709423,0.1620912770679661,True,0.0,0.0
17,2530,640,680,4.301798194618846,0.0400344182598884,True,0.0,0.0
18,2688,680,720,4.336036455925662,0.0070199304545397,True,0.0,0.0
19,2846,720,760,4.424483893928865,0.0563070010612642,True,0.0,0.0
20,3004,760,800,4.55680195181372,0.1578490002338561,True,0.0,0.0
21,3162,800,840,4.726994152913466,0.2505620300625981,True,0.0,0.0
22,3320,840,880,4.924538542288223,0.256584937595159,True,0.0,0.0
23,3478,880,920,5.126088227239132,0.1214576349508886,True,0.0,0.0
24,3636,920,960,5.292344951964922,0.1445626954966385,True,0.0,0.0
25,3794,960,1000,5.373512048666571,0.4589455864159726,True,0.0,0.0
26,3952,1000,1040,5.323068518282866,0.7070932785728372,True,0.0,0.0
27,4110,1040,1080,5.115021798003529,0.807599694491115,True,0.0,0.0
28,4268,1080,1120,4.75710585457764,0.7579474539911235,True,0.0,0.0
29,4426,1120,1160,4.2936018950507435,0.6286688836883627,True,0.0,0.0
30,4584,1160,1200,3.796096045060577,0.5123672397799544,True,0.0,0.0
31,4742,1200,1240,3.345804512908123,0.4672548707172899,True,0.0,0.0
32,4900,1240,1280,3.0139969779868068,0.4959231632594325,True,0.0,0.0
33,5058,1280,1320,2.8464926213981574,0.5684603651418296,True,0.0,0.0
34,5214,1320,1321,2.8554655067374117,0.6618918004783954,True,0.0,0.0
35,5218,1321,1322,2.87594642576439,0.4404576326710003,True,0.0,0.0
36,5222,1322,1323,2.9141403882221404,0.4054587720368969,True,0.0,0.0
37,5228,1323,1363,2.9607559544633206,0.5260142719716256,True,0.0,0.0
38,5384,1363,1364,2.9929500739738324,0.7197978034287065,True,0.0,0.0
39,5388,1364,1365,2.93968449995276,0.8878266337881802,True,0.0,0.0
40,5392,1365,1366,2.8333623447740894,1.0679767671495588,True,0.0,0.0
41,5396,1366,1367,2.6591115848410585,1.1990280898367995,True,0.0,0.0
