order,edge_id,u,v,nominal_forecast,deviation_abs,covered_by_pi,rho_implied,robust_cost_component
1,0,0,1,3.981478570834384,0.6576770353704813,True,0.0,0.0
2,6,1,41,3.870544072158498,0.4325795754116428,True,0.0,0.0
3,164,41,81,4.2556193037054175,0.3022078624919153,True,0.0,0.0
4,322,81,121,4.9541993087384775,0.0924707610560151,True,0.0,0.0
5,480,121,161,5.83411611430528,0.259679866272668,True,0.0,0.0
6,638,161,201,6.725840421994041,0.6954262642422782,True,0.0,0.0
7,796,201,241,7.457172773220741,1.055659661662549,False,0.28163365515755334,0.28163365515755334
8,954,241,281,7.892914802289516,1.1732506156331546,False,0.3992246091281588,0.3992246091281588
9,1112,281,321,7.967538345103168,0.9772829990314272,False,0.20325699252643148,0.20325699252643148
10,1270,321,361,7.698450751933656,0.5403014464879288,True,0.0,0.0
11,1428,361,401,7.174084323121037,0.0387137581922703,True,0.0,0.0
12,1586,401,441,6.521658659128995,0.3442688657165531,True,0.0,0.0
13,1744,441,481,5.867965876395658,0.5080478474650514,True,0.0,0.0
14,1902,481,521,5.308110246131311,0.4634953165546482,True,0.0,0.0
15,2060,521,561,4.891469182982713,0.2956671682750658,True,0.0,0.0
16,2218,561,601,4.625258776111866,0.0992048952602848,True,0.0,0.0
17,2376,601,641,4.489155530640244,0.0655261205059014,True,0.0,0.0
18,2534,641,681,4.45236343763626,0.175303238534731,True,0.0,0.0
19,2692,681,721,4.486735727758267,0.2229395269972407,True,0.0,0.0
20,2850,721,761,4.5732490469655716,0.2041385675543328,True,0.0,0.0
21,3008,761,801,4.701882381067271,0.127262173859175,True,0.0,0.0
22,3166,801,841,4.866294326051497,0.031212487219185,True,0.0,0.0
23,3324,841,881,5.055586587980464,0.0165702877563491,True,0.0,0.0
24,3482,881,921,5.246610604752281,0.0463729964676371,True,0.0,0.0
25,3640,921,961,5.401082737173671,0.2321126276624889,True,0.0,0.0
26,3798,961,1001,5.470780496222211,0.4817404153467866,True,0.0,0.0
27,3956,1001,1041,5.4107067251945145,0.6917935692532087,True,0.0,0.0
28,4114,1041,1081,5.195705422890318,0.7740260065049958,True,0.0,0.0
29,4272,1081,1121,4.83330440932896,0.7073668889425919,True,0.0,0.0
30,4430,1121,1161,4.366590856850571,0.5455390684157528,True,0.0,0.0
31,4588,1161,1201,3.8653555206883943,0.3776065555758987,True,0.0,0.0
32,4746,1201,1241,3.408948068573285,0.2739777165397052,True,0.0,0.0
33,4904,1241,1281,3.067206022410401,0.2581001401543354,True,0.0,0.0
34,5062,1281,1321,2.8853378871785234,0.3185665253096337,True,0.0,0.0
35,5218,1321,1322,2.87594642576439,0.4404576326710003,True,0.0,0.0
36,5222,1322,1323,2.9141403882221404,0.4054587720368969,True,0.0,0.0
37,5228,1323,1363,2.9607559544633206,0.5260142719716256,True,0.0,0.0
38,5384,1363,1364,2.9929500739738324,0.7197978034287065,True,0.0,0.0
39,5388,1364,1365,2.93968449995276,0.8878266337881802,False,0.11380062728318441,0.11380062728318441
40,5392,1365,1366,2.8333623447740894,1.0679767671495588,False,0.29395076064456305,0.29395076064456305
41,5396,1366,1367,2.6591115848410585,1.1990280898367995,False,0.4250020833318038,0.4250020833318038
42,5400,1367,1368,2.417988982239244,1.2086158467610582,False,0.4345898402560624,0.4345898402560624
43,5404,1368,1369,2.1350417300646285,1.040043539969956,False,0.26601753346496015,0.26601753346496015
44,5410,1369,1409,1.8607112454348376,0.6959120066381272,True,0.0,0.0
45,5566,1409,1410,1.488108991529976,0.7452266563506518,True,0.0,0.0
46,5572,1410,1450,1.2531840056278627,0.3345261121211615,True,0.0,0.0
47,5728,1450,1451,1.0746643578574382,0.5009495235678751,True,0.0,0.0
48,5734,1451,1491,1.0,0.157735055532785,True,0.0,0.0
49,5890,1491,1492,1.0221258357653542,0.6153112156427354,True,0.0,0.0
50,5894,1492,1493,1.1606809109636085,0.4298655629106325,True,0.0,0.0
51,5898,1493,1494,1.48924421076676,0.3342861287878076,True,0.0,0.0
52,5904,1494,1534,1.9808481524318784,0.338373419206202,True,0.0,0.0
53,6060,1534,1535,2.0922730887976315,1.213029875582195,False,0.43900386907719935,0.43900386907719935
54,6064,1535,1536,2.6581934364459467,1.1436967231900388,False,0.36967071668504303,0.36967071668504303
55,6068,1536,1537,3.2728522807032134,0.9782626816121556,False,0.20423667510715982,0.20423667510715982
56,6072,1537,1538,3.897439267942739,0.6884181169902486,True,0.0,0.0
57,6078,1538,1578,4.50730912977454,0.318308782390817,True,0.0,0.0
58,6198,1578,1579,4.458961620433941,1.0077338478723892,False,0.23370784136739342,0.23370784136739342
59,6200,1579,1580,4.996264735987191,0.4904353583637171,True,0.0,0.0
60,6202,1580,1581,5.492850130036737,0.0992389472947978,True,0.0,0.0
61,6204,1581,1582,5.927369289812605,0.1343273225168912,True,0.0,0.0
62,6206,1582,1583,6.269313225859354,0.2646506761054885,True,0.0,0.0
63,6208,1583,1584,6.488331512327541,0.3896119769502535,True,0.0,0.0
64,6210,1584,1585,6.5669412691765725,0.5783197929805262,True,0.0,0.0
65,6212,1585,1586,6.508155265357231,0.8208074205307669,False,0.046781414025771184,0.046781414025771184
66,6214,1586,1587,6.332867870028179,1.0362882452423632,False,0.2622622387373674,0.2622622387373674
67,6216,1587,1588,6.068834397285251,1.133718072156535,False,0.3596920656515392,0.3596920656515392
68,6218,1588,1589,5.738867652449909,1.0800909213656018,False,0.30606491486060605,0.30606491486060605
69,6220,1589,1590,5.356395314985324,0.9267586066600008,False,0.152732600155005,0.152732600155005
70,6222,1590,1591,4.931374730523332,0.7754236422340721,False,0.001397635729076363,0.001397635729076363
71,6224,1591,1592,4.482341800406247,0.7093093105641293,True,0.0,0.0
72,6226,1592,1593,4.045748124519319,0.738552026452457,True,0.0,0.0
73,6228,1593,1594,3.674674255880483,0.79588245307415,False,0.021856446569154198,0.021856446569154198
