edge_id,u,v,nominal_forecast,deviation_abs
0,0,1,5.275049789394734,0.27602773247895307
1,1,0,5.275049789394734,0.27602773247895307
2,0,15,5.275049789394734,0.27602773247895307
3,15,0,5.275049789394734,0.27602773247895307
4,1,2,5.564805174339532,0.48172261161514296
5,2,1,5.564805174339532,0.48172261161514296
6,1,16,5.564805174339532,0.48172261161514296
7,16,1,5.564805174339532,0.48172261161514296
8,2,3,5.922972127698968,0.7012646917955099
9,3,2,5.922972127698968,0.7012646917955099
10,2,17,5.922972127698968,0.7012646917955099
11,17,2,5.922972127698968,0.7012646917955099
12,3,4,6.284416456683489,0.9182436872925503
13,4,3,6.284416456683489,0.9182436872925503
14,3,18,6.284416456683489,0.9182436872925503
15,18,3,6.284416456683489,0.9182436872925503
16,4,5,6.554267039493643,1.0895687342827687
17,5,4,6.554267039493643,1.0895687342827687
18,4,19,6.554267039493643,1.0895687342827687
19,19,4,6.554267039493643,1.0895687342827687
20,5,6,6.6419806333846125,1.1636815009907782
21,6,5,6.6419806333846125,1.1636815009907782
22,5,20,6.6419806333846125,1.1636815009907782
23,20,5,6.6419806333846125,1.1636815009907782
24,6,7,6.497566282432889,1.1063246394804649
25,7,6,6.497566282432889,1.1063246394804649
26,6,21,6.497566282432889,1.1063246394804649
27,21,6,6.497566282432889,1.1063246394804649
28,7,8,6.133672351281595,0.919976776022259
29,8,7,6.133672351281595,0.919976776022259
30,7,22,6.133672351281595,0.919976776022259
31,22,7,6.133672351281595,0.919976776022259
32,8,9,5.623751018926629,0.6469176440197284
33,9,8,5.623751018926629,0.6469176440197284
34,8,23,5.623751018926629,0.6469176440197284
35,23,8,5.623751018926629,0.6469176440197284
36,9,10,5.077512958813787,0.354942316425781
37,10,9,5.077512958813787,0.354942316425781
38,9,24,5.077512958813787,0.354942316425781
39,24,9,5.077512958813787,0.354942316425781
40,10,11,4.604822179042399,0.1136063216690868
41,11,10,4.604822179042399,0.1136063216690868
42,10,25,4.604822179042399,0.1136063216690868
43,25,10,4.604822179042399,0.1136063216690868
44,11,12,4.283302755152237,0.02739301810844985
45,12,11,4.283302755152237,0.02739301810844985
46,11,26,4.283302755152237,0.02739301810844985
47,26,11,4.283302755152237,0.02739301810844985
48,12,13,4.141662472024732,0.04913689492977458
49,13,12,4.141662472024732,0.04913689492977458
50,12,27,4.141662472024732,0.04913689492977458
51,27,12,4.141662472024732,0.04913689492977458
52,13,14,4.16231310477918,0.03760965006399619
53,14,13,4.16231310477918,0.03760965006399619
54,13,28,4.16231310477918,0.03760965006399619
55,28,13,4.16231310477918,0.03760965006399619
56,14,29,4.297921535345825,0.2004718971883248
