edge_id,u,v,nominal_forecast,deviation_abs
0,0,1,4.999022056915781,0.27602773247895307
1,1,0,4.999022056915781,0.27602773247895307
2,0,15,4.999022056915781,0.27602773247895307
3,15,0,4.999022056915781,0.27602773247895307
4,1,2,5.083082562724389,0.48172261161514296
5,2,1,5.083082562724389,0.48172261161514296
6,1,16,5.083082562724389,0.48172261161514296
7,16,1,5.083082562724389,0.48172261161514296
8,2,3,5.2217074359034585,0.7012646917955099
9,3,2,5.2217074359034585,0.7012646917955099
10,2,17,5.2217074359034585,0.7012646917955099
11,17,2,5.2217074359034585,0.7012646917955099
12,3,4,5.366172769390938,0.9182436872925503
13,4,3,5.366172769390938,0.9182436872925503
14,3,18,5.366172769390938,0.9182436872925503
15,18,3,5.366172769390938,0.9182436872925503
16,4,5,5.464698305210875,1.0895687342827687
17,5,4,5.464698305210875,1.0895687342827687
18,4,19,5.464698305210875,1.0895687342827687
19,19,4,5.464698305210875,1.0895687342827687
20,5,6,5.478299132393834,1.1636815009907782
21,6,5,5.478299132393834,1.1636815009907782
22,5,20,5.478299132393834,1.1636815009907782
23,20,5,5.478299132393834,1.1636815009907782
24,6,7,5.391241642952424,1.1063246394804649
25,7,6,5.391241642952424,1.1063246394804649
26,6,21,5.391241642952424,1.1063246394804649
27,21,6,5.391241642952424,1.1063246394804649
28,7,8,5.213695575259336,0.919976776022259
29,8,7,5.213695575259336,0.919976776022259
30,7,22,5.213695575259336,0.919976776022259
31,22,7,5.213695575259336,0.919976776022259
32,8,9,4.9768333749069,0.6469176440197284
33,9,8,4.9768333749069,0.6469176440197284
34,8,23,4.9768333749069,0.6469176440197284
35,23,8,4.9768333749069,0.6469176440197284
36,9,10,4.722570642388006,0.354942316425781
37,10,9,4.722570642388006,0.354942316425781
38,9,24,4.722570642388006,0.354942316425781
39,24,9,4.722570642388006,0.354942316425781
40,10,11,4.491215857373312,0.1136063216690868
41,11,10,4.491215857373312,0.1136063216690868
42,10,25,4.491215857373312,0.1136063216690868
43,25,10,4.491215857373312,0.1136063216690868
44,11,12,4.3106957732606865,0.02739301810844985
45,12,11,4.3106957732606865,0.02739301810844985
46,11,26,4.3106957732606865,0.02739301810844985
47,26,11,4.3106957732606865,0.02739301810844985
48,12,13,4.190799366954507,0.04913689492977458
49,13,12,4.190799366954507,0.04913689492977458
50,12,27,4.190799366954507,0.04913689492977458
51,27,12,4.190799366954507,0.04913689492977458
52,13,14,4.124703454715184,0.03760965006399619
53,14,13,4.124703454715184,0.03760965006399619
54,13,28,4.124703454715184,0.03760965006399619
55,28,13,4.124703454715184,0.03760965006399619
56,14,29,4.0974496381575,0.2004718971883248
57,29,14,4.0974496381575,0.2004718971883248
58,15,16,4.880827372630062,0.08657805610680747
59,16,15,4.880827372630062,0.08657805610680747
60,15,30,4.880827372630062,0.08657805610680747
61,30,15,4.880827372630062,0.08657805610680747
62,16,17,4.961041291330773,0.25723085846790994
63,17,16,4.961041291330773,0.25723085846790994
64,16,31,4.961041291330773,0.25723085846790994
65,31,16,4.961041291330773,0.25723085846790994
66,17,18,5.09311843412995,0.44357967107754703
67,18,17,5.09311843412995,0.44357967107754703
68,17,32,5.09311843412995,0.44357967107754703
69,32,17,5.09311843412995,0.44357967107754703
70,18,19,5.230437981278885,0.6243067255328949
71,19,18,5.230437981278885,0.6243067255328949
72,18,33,5.230437981278885,0.6243067255328949
73,33,18,5.230437981278885,0.6243067255328949
74,19,20,5.323948311674574,0.7662839567300583
75,20,19,5.323948311674574,0.7662839567300583
76,19,34,5.323948311674574,0.7662839567300583
77,34,19,5.323948311674574,0.7662839567300583
78,20,21,5.3375740166066,0.8369089717878904
79,21,20,5.3375740166066,0.8369089717878904
80,20,35,5.3375740166066,0.8369089717878904
81,35,20,5.3375740166066,0.8369089717878904
82,21,22,5.258126486263603,0.8180023079503762
83,22,21,5.258126486263603,0.8180023079503762
